"module name","license","repository"
"@babel/code-frame@7.23.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.22.15","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.23.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.22.20","MIT","https://github.com/babel/babel"
"@babel/highlight@7.23.4","MIT","https://github.com/babel/babel"
"@babel/runtime@7.24.0","MIT","https://github.com/babel/babel"
"@babel/types@7.24.0","MIT","https://github.com/babel/babel"
"@emotion/babel-plugin@11.11.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.11.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.9.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/is-prop-valid@1.2.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/is-prop-valid"
"@emotion/memoize@0.8.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.11.4","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.1.3","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.2.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/styled@11.11.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/styled"
"@emotion/unitless@0.8.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.0.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.2.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.3.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@floating-ui/core@1.6.0","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.6.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.0.8","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.1","MIT","https://github.com/floating-ui/floating-ui"
"@fortawesome/fontawesome-common-types@6.5.1","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/fontawesome-svg-core@6.5.1","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/free-solid-svg-icons@6.5.1","(CC-BY-4.0 AND MIT)","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/react-fontawesome@0.2.0","MIT","https://github.com/FortAwesome/react-fontawesome"
"@kurkle/color@0.3.2","MIT","https://github.com/kurkle/color"
"@mui/base@5.0.0-beta.38","MIT","https://github.com/mui/material-ui"
"@mui/core-downloads-tracker@5.15.12","MIT","https://github.com/mui/material-ui"
"@mui/icons-material@5.15.12","MIT","https://github.com/mui/material-ui"
"@mui/material@5.15.12","MIT","https://github.com/mui/material-ui"
"@mui/private-theming@5.15.12","MIT","https://github.com/mui/material-ui"
"@mui/styled-engine@5.15.11","MIT","https://github.com/mui/material-ui"
"@mui/system@5.15.12","MIT","https://github.com/mui/material-ui"
"@mui/types@7.2.13","MIT","https://github.com/mui/material-ui"
"@mui/utils@5.15.12","MIT","https://github.com/mui/material-ui"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"@remix-run/router@1.15.3","MIT","https://github.com/remix-run/react-router"
"@types/cookie@0.6.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hoist-non-react-statics@3.3.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/parse-json@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.2.64","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"aphrodite@2.4.0","MIT","https://github.com/Khan/aphrodite"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"axios@1.7.4","MIT","https://github.com/axios/axios"
"babel-plugin-macros@3.1.0","MIT","https://github.com/kentcdodds/babel-plugin-macros"
"call-bind@1.0.7","MIT","https://github.com/ljharb/call-bind"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chart.js@4.4.2","MIT","https://github.com/chartjs/Chart.js"
"chartjs-adapter-date-fns@3.0.0","MIT","https://github.com/chartjs/chartjs-adapter-date-fns"
"chartkick@4.2.0","MIT","https://github.com/ankane/chartkick.js"
"clsx@2.1.0","MIT","https://github.com/lukeed/clsx"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"convert-source-map@1.9.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie@0.7.2","MIT","https://github.com/jshttp/cookie"
"cosmiconfig@7.1.0","MIT","https://github.com/davidtheclark/cosmiconfig"
"css-in-js-utils@2.0.1","MIT","https://github.com/rofrischmann/css-in-js-utils"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"date-fns@3.3.1","MIT","https://github.com/date-fns/date-fns"
"define-data-property@1.1.4","MIT","https://github.com/ljharb/define-data-property"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"es-define-property@1.0.0","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"find-root@1.1.0","MIT","https://github.com/js-n/find-root"
"follow-redirects@1.15.9","MIT","https://github.com/follow-redirects/follow-redirects"
"form-data@4.0.0","MIT","https://github.com/form-data/form-data"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.2.4","MIT","https://github.com/ljharb/get-intrinsic"
"gopd@1.0.1","MIT","https://github.com/ljharb/gopd"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-property-descriptors@1.0.2","MIT","https://github.com/inspect-js/has-property-descriptors"
"has-proto@1.0.3","MIT","https://github.com/inspect-js/has-proto"
"has-symbols@1.0.3","MIT","https://github.com/inspect-js/has-symbols"
"hasown@2.0.1","MIT","https://github.com/inspect-js/hasOwn"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"hyphenate-style-name@1.0.4","BSD-3-Clause","https://github.com/rexxars/hyphenate-style-name"
"import-fresh@3.3.0","MIT","https://github.com/sindresorhus/import-fresh"
"inline-style-prefixer@5.1.2","MIT","https://github.com/rofrischmann/inline-style-prefixer"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-core-module@2.13.1","MIT","https://github.com/inspect-js/is-core-module"
"isobject@3.0.1","MIT","https://github.com/jonschlinkert/isobject"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
"lines-and-columns@1.2.4","MIT","https://github.com/eventualbuddha/lines-and-columns"
"linkify-it@2.2.0","MIT","https://github.com/markdown-it/linkify-it"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-inspect@1.13.1","MIT","https://github.com/inspect-js/object-inspect"
"parent-module@1.0.1","MIT","https://github.com/sindresorhus/parent-module"
"parse-json@5.2.0","MIT","https://github.com/sindresorhus/parse-json"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"path-type@4.0.0","MIT","https://github.com/sindresorhus/path-type"
"portal-client@0.0.0","UNLICENSED",""
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env"
"qs@6.12.0","BSD-3-Clause","https://github.com/ljharb/qs"
"react-chartkick@0.5.3","MIT","https://github.com/ankane/react-chartkick"
"react-cookie@7.2.2","MIT","https://github.com/bendotcodes/cookies"
"react-countdown@2.3.5","MIT","https://github.com/ndresx/react-countdown"
"react-dom@18.2.0","MIT","https://github.com/facebook/react"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-is@18.2.0","MIT","https://github.com/facebook/react"
"react-linkify@1.0.0-alpha","MIT","https://github.com/tasti/react-linkify"
"react-router-dom@6.22.3","MIT","https://github.com/remix-run/react-router"
"react-router@6.22.3","MIT","https://github.com/remix-run/react-router"
"react-tabs@6.0.2","MIT","https://github.com/reactjs/react-tabs"
"react-transition-group@4.4.5","BSD-3-Clause","https://github.com/reactjs/react-transition-group"
"react@18.2.0","MIT","https://github.com/facebook/react"
"regenerator-runtime@0.14.1","MIT","https://github.com/facebook/regenerator/tree/main/packages/runtime"
"resolve-from@4.0.0","MIT","https://github.com/sindresorhus/resolve-from"
"resolve@1.22.8","MIT","https://github.com/browserify/resolve"
"scheduler@0.23.0","MIT","https://github.com/facebook/react"
"set-function-length@1.2.1","MIT","https://github.com/ljharb/set-function-length"
"side-channel@1.0.6","MIT","https://github.com/ljharb/side-channel"
"source-map@0.5.7","BSD-3-Clause","https://github.com/mozilla/source-map"
"string-hash@1.1.3","CC0-1.0","https://github.com/darkskyapp/string-hash"
"stylis@4.2.0","MIT","https://github.com/thysultan/stylis.js"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"tlds@1.251.0","MIT","https://github.com/stephenmathieson/node-tlds"
"to-fast-properties@2.0.0","MIT","https://github.com/sindresorhus/to-fast-properties"
"uc.micro@1.0.6","MIT","https://github.com/markdown-it/uc.micro"
"universal-cookie@7.2.2","MIT","https://github.com/bendotcodes/cookies"
"yaml@1.10.2","ISC","https://github.com/eemeli/yaml"
